Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	11.299786	5.095077	0.83285946	9.65114	1.2542344	0.6778255	
CLASSIFIED/WALKING	12.868221	12.645414	2.5015867	9.865389	2.3860726	1.8930907	
CLASSIFIED/WALKING	4.776971	8.224645	1.6113278	10.066309	0.98886347	1.5792909	
